название,цена,фото
"Mercedes-Benz E-Класс W212/S212/C207/A207 [рестайлинг] Седан 4-дв. , 2015",19250$,https://i.cars.kg/preview/r/yy5KanTzPNDcutZVdc57DQ/1080x-/20211001/f31540f8c92aaa09f4984b6db025da78.jpg
"Mercedes-Benz S-Класс W221 Седан , 2005",10000$,https://i.cars.kg/preview/r/8AkqWDlVT8GolYlGxy0gag/1080x-/20211001/2d52c57de427394c5f171ac668501efd.jpg
"Mercedes-Benz , 1995",4500$,https://i.cars.kg/preview/r/Kh98lIwt7DYnfOtP-ov7iQ/1080x-/20211001/c839c818d8414c128d32937af405c60e.jpg
"Mercedes-Benz E-Класс W210/S210 Универсал , 1996",3700$,https://i.cars.kg/preview/r/kRrbEBvMiiEAowASMadrlg/1080x-/20210930/03cb8a11210de26c646c5788fc1519b8.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2000",5500$,https://i.cars.kg/preview/r/sNpL-VtX9s-UQQjBT-r5zQ/1080x-/20210929/29e276131a7d6b901b866664f323c26a.jpeg
"Mercedes-Benz E-Класс W124 Седан 4-дв. , 1992",1800$,https://i.cars.kg/preview/r/wd_C8oJN7iMhdmZ_K5Y3VA/1080x-/20210930/74aaa0341b1404496b74feb86f6611e1.jpg
"Mercedes-Benz E-Класс W124 Седан 4-дв. , 1990",3800$,https://i.cars.kg/preview/r/s1aZ0kRK4RONZ_rSn9BxtA/1080x-/20210929/e9a8e23af6c3aa9a8ba2eb8d030435c9.jpg
"Mercedes-Benz , 2012",31000$,https://i.cars.kg/preview/r/JQNlcdrRFIZfIjth7NtqrQ/1080x-/20210929/7ce38e3102981f47eda264329618bc8f.jpg
"Mercedes-Benz S-Класс W140/C140 [рестайлинг] Седан , 1996",10777$,https://i.cars.kg/preview/r/NL8VpNHM-ntltLI5XC-0LQ/1080x-/20210929/4137685462508d3e52844bfb650c1677.jpeg
"Mercedes-Benz E-Класс W211/S211 Седан , 2003",16500$,https://i.cars.kg/preview/r/E1u6EM1r4kkqkpKamwMUiQ/1080x-/20210928/4e68563c37b0de8231f5fe11733e9688.jpg
"Mercedes-Benz GL-Класс X164 Внедорожник , 2007",13200$,https://i.cars.kg/preview/r/DUkJXqUgjtldNg31wvXzng/1080x-/20210928/63b94ec0f6cfbec4828490dcf56a9875.jpg
"Mercedes-Benz , 1996",5700$,https://i.cars.kg/preview/r/_ZfS4Dq4Lpd7abTCOrblIg/1080x-/20210928/0ea4ee91b3dff1698bb882a7980b1330.jpg
"Mercedes-Benz M-Класс W163 [рестайлинг] Кроссовер , 2004",8200$,https://i.cars.kg/preview/r/ctOy8e4kD5u6wjXr30z8WQ/1080x-/20210928/1037d116ac8be7ecbb153562af88fd31.jpg
"Mercedes-Benz E-Класс W212/S212/C207/A207 AMG седан 4-дв. , 2010",13300$,https://i.cars.kg/preview/r/GlA-hh228bBtF2JY6Sk4dQ/1080x-/20210927/4fcc3c821b985b2e3c76fe05638be3f0.jpg
"Mercedes-Benz G-Класс W463 AMG внедорожник 5-дв. , 2005",35500$,https://i.cars.kg/preview/r/FdOPpMIaZGKk7LnZhFyBFg/1080x-/20210927/e0d92f316440cead03b9efcf613d4898.jpg
"Mercedes-Benz C-Класс W201 [рестайлинг] Седан , 1990",1000$,https://i.cars.kg/preview/r/ThuOr-MPwM5Brirc16l--w/1080x-/20210927/24d687871032d86187ddc048da7c22f5.jpg
"Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1995",2000$,https://i.cars.kg/preview/r/yNzo5f39-m9oR6JQ44wviQ/1080x-/20210926/a9589d0004e785cd3f18821a2d8826c0.jpg
"Mercedes-Benz A-Класс W168/V168 [рестайлинг] Хетчбэк 5-дв. , 2002",2300$,https://i.cars.kg/preview/r/um9YP_WTimki4UaodfwEUg/1080x-/20210926/5fb7f6509d8b0f5a529bd28fba62c7ef.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2002",9000$,https://i.cars.kg/preview/r/j0dZRSU8kYGDD0xP3DtKgg/1080x-/20210926/126d55e2888df9183b6560850aa2d7f5.jpg
"Mercedes-Benz S-Класс W221 Седан , 2008",13500$,https://i.cars.kg/preview/r/k1BwSABaqfSfNNQUXl1Q4Q/1080x-/20210926/8e777918e27551a2c98c24ebc88aa449.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2005",8900$,https://i.cars.kg/preview/r/bMNeMwNycDKT5nlhisoCtw/1080x-/20210926/cf8dd0819373bd26fc3fdc62f6b12e10.jpg
"Mercedes-Benz E-Класс W124 Седан 4-дв. , 1993",3300$,https://i.cars.kg/preview/r/Ce1b5VgHcgTp_ysLzfMplQ/1080x-/20210926/1538cee9c4b4643cb36bd81370ea75c6.jpg
"Mercedes-Benz S-Класс W222 / C217 Седан 4-дв. , 2014",34000$,https://i.cars.kg/preview/r/4soDslSmx4C2h_QxD7DRaA/1080x-/20210925/2459de27e83643eb3eb1607c82906fbd.jpeg
